Descripción,Localización,Precio,Superficie Construida,Última Actualización,Consumo Energético,Emisiones CO2,Características,Tipo de operación
Piso en alquiler en Arcos,Arcos (Distrito San Blas. Madrid Capital),1.125,70,Anuncio actualizado el 09/10/2024,N/A,N/A,"[('Superficie construida:', '70 m²'), ('Habitaciones:', '3'), ('Baños:', '1'), ('Planta:', '2ª'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA3458-2001/20010001/1835')]",Alquiler
Dúplex en alquiler en Castilla,Castilla (Distrito Chamartín. Madrid Capital),1.550,63,Anuncio actualizado el 28/10/2024,N/A,N/A,"[('Superficie construida:', '63 m²'), ('Superficie útil:', '57 m²'), ('Habitaciones:', '3'), ('Baños:', '1'), ('Antigüedad:', 'Entre 30 y 50 años'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA3051-08166')]",Alquiler
"Apartamento en alquiler en Calle Doctor Esquerdo, cerca de Calle Samaria",Niño Jesús (Distrito Retiro. Madrid Capital),5.400,267,Anuncio actualizado el 25/10/2024,Consumo:423 kWh/m² año,Emisiones:89 Kg CO₂/m² año,"[('Superficie construida:', '267 m²'), ('Habitaciones:', '3'), ('Baños:', '3'), ('Planta:', '4ª'), ('Referencia:', 'IF77045-I-00L48D-W-02XGFH')]",Alquiler
Apartamento en alquiler en Imperial,Imperial (Distrito Arganzuela. Madrid Capital),1.790,81,Anuncio actualizado el 25/06/2024,N/A,N/A,"[('Superficie construida:', '81 m²'), ('Habitaciones:', '2'), ('Baños:', '2'), ('Planta:', '6ª'), ('Referencia:', 'IF77045-I-00KZ16-W-02VOK7')]",Alquiler
Piso en alquiler en Valenoso,Montepríncipe (Boadilla del Monte),1.900,216,Anuncio actualizado el 07/10/2024,N/A,N/A,"[('Superficie construida:', '216 m²'), ('Habitaciones:', '3'), ('Baños:', '2'), ('Exterior:', 'Exterior'), ('Referencia:', 'GM34-201005')]",Alquiler
Piso en alquiler en Pradolongo,Pradolongo (Distrito Usera. Madrid Capital),920,53,Anuncio actualizado el 13/09/2024,N/A,N/A,"[('Superficie construida:', '53 m²'), ('Habitaciones:', '2'), ('Baños:', '1'), ('Planta:', '2ª'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA3458-2001/20010001/1781')]",Alquiler
Piso en alquiler en Puente de Vallecas,Numancia (Distrito Puente de Vallecas. Madrid Capital),875,40,Anuncio actualizado el 19/10/2024,N/A,N/A,"[('Superficie construida:', '40 m²'), ('Habitaciones:', '1'), ('Baños:', '1'), ('Planta:', '3ª'), ('Conservación:', 'En buen estado'), ('Referencia:', 'XA24-2803-026235')]",Alquiler
Apartamento en alquiler en Centro,Centro (Getafe),1.500,67,Anuncio actualizado el 20/09/2024,N/A,N/A,"[('Superficie construida:', '67 m²'), ('Habitaciones:', '3'), ('Baños:', '1'), ('Referencia:', 'IF77045-I-00L322-W-02X4N5')]",Alquiler
Piso en alquiler en Conde Orgaz,Prosperidad (Distrito Chamartín. Madrid Capital),1.200,70,Anuncio actualizado el 11/10/2024,N/A,N/A,"[('Superficie construida:', '70 m²'), ('Habitaciones:', '1'), ('Baños:', '1'), ('Referencia:', 'GM34-201157')]",Alquiler
Piso en alquiler en Canillas,Canillas (Distrito Hortaleza. Madrid Capital),1.700,102,Anuncio actualizado el 28/10/2024,N/A,N/A,"[('Superficie construida:', '102 m²'), ('Habitaciones:', '2'), ('Planta:', '4ª'), ('Referencia:', 'XA614-12626')]",Alquiler
Apartamento en alquiler en Embajadores-Lavapiés,Embajadores-Lavapiés (Distrito Centro. Madrid Capital),1.250,40,Anuncio actualizado el 09/10/2024,Consumo:221 kWh/m² año,Emisiones:58 Kg CO₂/m² año,"[('Superficie construida:', '40 m²'), ('Habitaciones:', '1'), ('Baños:', '1'), ('Referencia:', 'IF77045-I-00L3O5-W-02XB5U')]",Alquiler
Piso en alquiler en Arganzuela,Palos de Moguer (Distrito Arganzuela. Madrid Capital),990,50,Anuncio actualizado el 25/10/2024,N/A,N/A,"[('Superficie construida:', '50 m²'), ('Habitaciones:', '2'), ('Baños:', '1'), ('Planta:', '7ª'), ('Conservación:', 'En buen estado'), ('Referencia:', 'XA24-2818-032292')]",Alquiler
Apartamento en alquiler en Almenara,Almenara (Distrito Tetuán. Madrid Capital),2.690,70,Anuncio actualizado el 19/08/2024,Consumo:326 kWh/m² año,Emisiones:55 Kg CO₂/m² año,"[('Superficie construida:', '70 m²'), ('Habitaciones:', '1'), ('Baños:', '2'), ('Referencia:', 'IF77045-I-00KXE1-W-02VA9R')]",Alquiler
Ático en alquiler en Trafalgar,Trafalgar (Distrito Chamberí. Madrid Capital),5.500,172,Anuncio actualizado el 21/05/2024,Consumo:40 kWh/m² año,Emisiones:8 Kg CO₂/m² año,"[('Superficie construida:', '172 m²'), ('Habitaciones:', '3'), ('Baños:', '3'), ('Referencia:', 'IF77045-I-00K3RQ-W-02NWSM')]",Alquiler
"Apartamento en alquiler en Calle de Matilde Landa, cerca de Calle del General Pintos",Almenara (Distrito Tetuán. Madrid Capital),2.530,65,Anuncio actualizado el 19/08/2024,N/A,N/A,"[('Superficie construida:', '65 m²'), ('Habitaciones:', '1'), ('Baños:', '1'), ('Referencia:', 'IF77045-I-00KW9A-W-02UX3Z')]",Alquiler
Apartamento en alquiler en Arapiles,Arapiles (Distrito Chamberí. Madrid Capital),3.000,160,Anuncio actualizado el 23/10/2024,Consumo:180 kWh/m² año,Emisiones:37 Kg CO₂/m² año,"[('Superficie construida:', '160 m²'), ('Habitaciones:', '4'), ('Baños:', '3'), ('Referencia:', 'IF77045-I-00L457-W-02XHU1')]",Alquiler
Piso en alquiler en Retiro,Pacífico (Distrito Retiro. Madrid Capital),1.690,125,Anuncio actualizado el 23/10/2024,N/A,N/A,"[('Superficie construida:', '125 m²'), ('Habitaciones:', '3'), ('Baños:', '1'), ('Planta:', '7ª'), ('Conservación:', 'En buen estado'), ('Referencia:', 'XA24-2806-031802')]",Alquiler
Casa adosada en alquiler en Colina,Colina (Distrito Ciudad Lineal. Madrid Capital),7.000,482,Anuncio actualizado el 21/05/2024,N/A,N/A,"[('Superficie construida:', '482 m²'), ('Habitaciones:', '4'), ('Baños:', '3'), ('Tipo de casa:', 'Adosada'), ('Antigüedad:', 'Entre 30 y 50 años'), ('Referencia:', 'IF77045-I-00KTNE-W-02U6IX')]",Alquiler
Piso en alquiler en Recoletos,Recoletos (Distrito Salamanca. Madrid Capital),6.900,294,Anuncio actualizado el 21/05/2024,Consumo:999 kWh/m² año,Emisiones:999 Kg CO₂/m² año,"[('Superficie construida:', '294 m²'), ('Habitaciones:', '3'), ('Baños:', '4'), ('Antigüedad:', 'Más de 50 años'), ('Referencia:', 'IF77045-I-00KSQZ-W-02TXWD')]",Alquiler
Piso en alquiler en Fuencarral,Valverde (Distrito Fuencarral-El Pardo. Madrid Capital),1.490,100,Anuncio actualizado el 12/10/2024,N/A,N/A,"[('Superficie construida:', '100 m²'), ('Habitaciones:', '4'), ('Baños:', '2'), ('Planta:', '1ª'), ('Conservación:', 'En buen estado'), ('Referencia:', 'XA24-2807-031908')]",Alquiler
"Piso en alquiler en Calle de Nuria, 74",Mirasierra-Arroyo del Fresno (Distrito Fuencarral-El Pardo. Madrid Capital),1.570,92,Anuncio actualizado el 25/10/2024,Consumo:360 kWh/m² año,Emisiones:75 Kg CO₂/m² año,"[('Superficie construida:', '92 m²'), ('Superficie útil:', '83 m²'), ('Habitaciones:', '2'), ('Baños:', '2'), ('Planta:', '4ª'), ('Antigüedad:', 'Más de 50 años'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA2484-3248-18139')]",Alquiler
Apartamento en alquiler en Sol,Sol (Distrito Centro. Madrid Capital),3.200,100,Anuncio actualizado el 12/09/2024,Consumo:275 kWh/m² año,Emisiones:58 Kg CO₂/m² año,"[('Superficie construida:', '100 m²'), ('Habitaciones:', '2'), ('Baños:', '2'), ('Planta:', '6ª'), ('Antigüedad:', 'Más de 50 años'), ('Referencia:', 'IF77045-I-00KZBR-W-02VNCT')]",Alquiler
Ático en alquiler en Goya,Goya (Distrito Salamanca. Madrid Capital),9.850,270,Anuncio actualizado el 20/09/2024,Consumo:109 kWh/m² año,Emisiones:22 Kg CO₂/m² año,"[('Superficie construida:', '270 m²'), ('Habitaciones:', '3'), ('Baños:', '5'), ('Planta:', '9ª'), ('Antigüedad:', 'Más de 50 años'), ('Referencia:', 'IF77045-I-00L0IS-W-02W8HK')]",Alquiler
"Piso en alquiler en Calle Gran Vía, cerca de Calle de Chinchilla",Sol (Distrito Centro. Madrid Capital),4.600,182,Anuncio actualizado el 26/10/2024,N/A,N/A,"[('Superficie construida:', '182 m²'), ('Habitaciones:', '2'), ('Baños:', '2'), ('Planta:', '8ª'), ('Conservación:', 'A estrenar'), ('Referencia:', 'XA633-4508')]",Alquiler
Ático en alquiler en Galapagar,La Navata (Galapagar),1.700,117,Anuncio actualizado el 27/10/2024,N/A,N/A,"[('Superficie construida:', '117 m²'), ('Habitaciones:', '3'), ('Baños:', '2'), ('Exterior:', 'Exterior'), ('Referencia:', 'GM34-194829')]",Alquiler
Apartamento en alquiler en Justicia-Chueca,Justicia-Chueca (Distrito Centro. Madrid Capital),1.700,45,Anuncio actualizado el 06/08/2024,N/A,N/A,"[('Superficie construida:', '45 m²'), ('Habitaciones:', '1'), ('Baños:', '1'), ('Referencia:', 'IF77045-I-00L1P5-W-02WORL')]",Alquiler
Piso en alquiler en San Andrés,San Andrés (Distrito Villaverde. Madrid Capital),1.080,62,Anuncio actualizado el 17/10/2024,N/A,N/A,"[('Superficie construida:', '62 m²'), ('Habitaciones:', '3'), ('Baños:', '1'), ('Planta:', '2ª'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA3458-2001/20010001/1921')]",Alquiler
Piso en alquiler en Nueva España,El Viso (Distrito Chamartín. Madrid Capital),1.800,86,Anuncio actualizado el 11/10/2024,N/A,N/A,"[('Superficie construida:', '86 m²'), ('Superficie útil:', '78 m²'), ('Habitaciones:', '3'), ('Baños:', '1'), ('Antigüedad:', 'Más de 50 años'), ('Referencia:', 'VE92-121-00432')]",Alquiler
Piso en alquiler en Chamartin,Ciudad Jardín (Distrito Chamartín. Madrid Capital),895,45,Anuncio actualizado el 19/10/2024,N/A,N/A,"[('Superficie construida:', '45 m²'), ('Habitaciones:', '1'), ('Baños:', '1'), ('Planta:', '2ª'), ('Conservación:', 'En buen estado'), ('Referencia:', 'XA24-2800-032197')]",Alquiler
Ático en alquiler en Imperial,Imperial (Distrito Arganzuela. Madrid Capital),3.730,191,Anuncio actualizado el 04/07/2024,N/A,N/A,"[('Superficie construida:', '191 m²'), ('Habitaciones:', '3'), ('Baños:', '2'), ('Planta:', '10ª'), ('Antigüedad:', 'Menos de 5 años'), ('Referencia:', 'IF77045-I-00KZ12-W-02VOJT')]",Alquiler
Apartamento en alquiler en Calle de Génova,Almagro (Distrito Chamberí. Madrid Capital),6.750,187,Anuncio actualizado el 21/05/2024,Consumo:34 kWh/m² año,Emisiones:6 Kg CO₂/m² año,"[('Superficie construida:', '187 m²'), ('Habitaciones:', '3'), ('Baños:', '3'), ('Referencia:', 'IF77045-I-00K0FK-W-02N3QV')]",Alquiler
Apartamento en alquiler en Lista,Lista (Distrito Salamanca. Madrid Capital),1.800,58,Anuncio actualizado el 21/10/2024,Consumo:257 kWh/m² año,Emisiones:53 Kg CO₂/m² año,"[('Superficie construida:', '58 m²'), ('Habitaciones:', '2'), ('Baños:', '2'), ('Antigüedad:', 'Más de 50 años'), ('Referencia:', 'IF77045-I-00L3WP-W-02XFIR')]",Alquiler
"Apartamento en alquiler en Paseo de la Habana, cerca de Calle de Herreros de Tejada",Hispanoamérica (Distrito Chamartín. Madrid Capital),8.000,287,Anuncio actualizado el 18/10/2024,N/A,N/A,"[('Superficie construida:', '287 m²'), ('Habitaciones:', '5'), ('Baños:', '4'), ('Antigüedad:', 'Entre 30 y 50 años'), ('Referencia:', 'IF77045-I-00KUTZ-W-02UF7V')]",Alquiler
Apartamento en alquiler en Sol,Sol (Distrito Centro. Madrid Capital),2.950,105,Anuncio actualizado el 21/05/2024,Consumo:40 kWh/m² año,Emisiones:8 Kg CO₂/m² año,"[('Superficie construida:', '105 m²'), ('Habitaciones:', '2'), ('Baños:', '2'), ('Referencia:', 'IF77045-I-00K3RN-W-02NWSF')]",Alquiler
Apartamento en alquiler en Calle Corredera Baja de San Pablo,Universidad-Malasaña (Distrito Centro. Madrid Capital),3.800,140,Anuncio actualizado el 21/05/2024,N/A,N/A,"[('Superficie construida:', '140 m²'), ('Habitaciones:', '2'), ('Baños:', '2'), ('Planta:', '1ª'), ('Referencia:', 'IF77045-I-00KIBR-W-02RK7A')]",Alquiler
Piso en alquiler en Calle de José Antonio Zapata,Legazpi (Distrito Arganzuela. Madrid Capital),1.540,84,Anuncio actualizado el 27/10/2024,N/A,N/A,"[('Superficie construida:', '84 m²'), ('Superficie útil:', '63 m²'), ('Habitaciones:', '2'), ('Planta:', '2ª'), ('Referencia:', 'XA614-12553')]",Alquiler
Piso en alquiler en Salamanca,Lista (Distrito Salamanca. Madrid Capital),3.600,166,Anuncio actualizado el 24/10/2024,N/A,N/A,"[('Superficie construida:', '166 m²'), ('Habitaciones:', '4'), ('Baños:', '2'), ('Planta:', '4ª'), ('Conservación:', 'En buen estado'), ('Referencia:', 'XA24-2800-031825')]",Alquiler
Apartamento en alquiler en Calle de La Unión,Palacio (Distrito Centro. Madrid Capital),2.500,85,Anuncio actualizado el 17/10/2024,Consumo:413 kWh/m² año,Emisiones:86 Kg CO₂/m² año,"[('Superficie construida:', '85 m²'), ('Habitaciones:', '2'), ('Baños:', '2'), ('Antigüedad:', 'Más de 50 años'), ('Referencia:', 'IF77045-I-00L3YC-W-02XBKK')]",Alquiler
Piso en alquiler en San Diego,San Diego (Distrito Puente de Vallecas. Madrid Capital),930,58,Anuncio actualizado el 19/08/2024,N/A,N/A,"[('Superficie construida:', '58 m²'), ('Habitaciones:', '2'), ('Baños:', '1'), ('Planta:', '2ª'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA3458-2001/20010001/624')]",Alquiler
"Casa en alquiler en Calle Calle del Escudo, Número .",Puerto de Galapagar-Las Cuestas (Galapagar),2.200,478,Anuncio actualizado el 14/09/2024,N/A,N/A,"[('Superficie construida:', '478 m²'), ('Superficie útil:', '478 m²'), ('Habitaciones:', '5'), ('Baños:', '5'), ('Referencia:', 'EP442-795995')]",Alquiler
Apartamento en alquiler en Calle del Barco,Sol (Distrito Centro. Madrid Capital),2.800,84,Anuncio actualizado el 21/05/2024,N/A,N/A,"[('Superficie construida:', '84 m²'), ('Habitaciones:', '1'), ('Baños:', '1'), ('Planta:', '1ª'), ('Referencia:', 'IF77045-I-00KIBW-W-02RKA3')]",Alquiler
Apartamento en alquiler en Calle de Bailén,Palacio (Distrito Centro. Madrid Capital),2.500,117,Anuncio actualizado el 25/10/2024,Consumo:83 kWh/m² año,Emisiones:16 Kg CO₂/m² año,"[('Superficie construida:', '117 m²'), ('Habitaciones:', '2'), ('Baños:', '2'), ('Planta:', '4ª'), ('Antigüedad:', 'Entre 5 y 10 años'), ('Referencia:', 'IF77045-I-00L36Q-W-02X6FQ')]",Alquiler
"Apartamento en alquiler en Calle de Matilde Landa, cerca de Calle del General Pintos",Almenara (Distrito Tetuán. Madrid Capital),2.150,45,Anuncio actualizado el 19/08/2024,N/A,N/A,"[('Superficie construida:', '45 m²'), ('Baños:', '1'), ('Referencia:', 'IF77045-I-00KW8F-W-02UWQ3')]",Alquiler
Piso en alquiler en San Cristóbal,San Cristóbal (Distrito Villaverde. Madrid Capital),935,64,Anuncio actualizado el 08/07/2024,N/A,N/A,"[('Superficie construida:', '64 m²'), ('Habitaciones:', '3'), ('Baños:', '1'), ('Planta:', '5ª'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA3458-2001/20010001/1763')]",Alquiler
Piso en alquiler en Pozuelo de Alarcón,Somosaguas-Húmera-Los Ángeles (Pozuelo de Alarcón),1.355,44,Anuncio actualizado el 26/10/2024,N/A,N/A,"[('Superficie construida:', '44 m²'), ('Habitaciones:', '1'), ('Baños:', '1'), ('Exterior:', 'Exterior'), ('Referencia:', 'GM34-198608')]",Alquiler
Ático en alquiler en Distrito Salamanca,Castellana (Distrito Salamanca. Madrid Capital),16.500,463,Anuncio actualizado el 25/10/2024,N/A,N/A,"[('Superficie construida:', '463 m²'), ('Habitaciones:', '4'), ('Baños:', '5'), ('Planta:', '8ª'), ('Conservación:', 'A estrenar'), ('Referencia:', 'XA633-5923')]",Alquiler
Piso en alquiler en Villa de Vallecas,Palomeras Sureste (Distrito Puente de Vallecas. Madrid Capital),950,50,Anuncio actualizado el 21/10/2024,N/A,N/A,"[('Superficie construida:', '50 m²'), ('Habitaciones:', '1'), ('Baños:', '1'), ('Planta:', '6ª'), ('Conservación:', 'En buen estado'), ('Referencia:', 'XA24-2809-032096')]",Alquiler
"Apartamento en alquiler en Paseo de la Habana, cerca de Calle de Herreros de Tejada",Hispanoamérica (Distrito Chamartín. Madrid Capital),9.250,287,Anuncio actualizado el 18/10/2024,N/A,N/A,"[('Superficie construida:', '287 m²'), ('Habitaciones:', '5'), ('Baños:', '4'), ('Antigüedad:', 'Entre 30 y 50 años'), ('Referencia:', 'IF77045-I-00KUTX-W-02UF7V')]",Alquiler
Piso en alquiler en Calle de Francisco Remiro,Fuente del Berro (Distrito Salamanca. Madrid Capital),1.480,77,Anuncio actualizado el 28/10/2024,N/A,N/A,"[('Superficie construida:', '77 m²'), ('Superficie útil:', '54 m²'), ('Habitaciones:', '1'), ('Planta:', '1ª'), ('Referencia:', 'XA614-1966')]",Alquiler
Apartamento en alquiler en Castillejos,Castillejos (Distrito Tetuán. Madrid Capital),1.350,56,Anuncio actualizado el 08/10/2024,Consumo:403 kWh/m² año,Emisiones:68 Kg CO₂/m² año,"[('Superficie construida:', '56 m²'), ('Habitaciones:', '1'), ('Baños:', '1'), ('Referencia:', 'IF77045-I-00L3CN-W-02X8F7')]",Alquiler
Piso en alquiler en Ibiza,Ibiza (Distrito Retiro. Madrid Capital),3.150,170,Anuncio actualizado el 28/10/2024,N/A,N/A,"[('Superficie construida:', '170 m²'), ('Superficie útil:', '150 m²'), ('Habitaciones:', '4'), ('Baños:', '3'), ('Planta:', '5ª'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA3051-02488')]",Alquiler
Apartamento en alquiler en Ríos Rosas,Ríos Rosas (Distrito Chamberí. Madrid Capital),3.500,151,Anuncio actualizado el 30/09/2024,Consumo:191 kWh/m² año,Emisiones:37 Kg CO₂/m² año,"[('Superficie construida:', '151 m²'), ('Habitaciones:', '3'), ('Baños:', '2'), ('Antigüedad:', 'Más de 50 años'), ('Referencia:', 'IF77045-I-00L3BH-W-02X7PC')]",Alquiler
"Piso en alquiler en Calle de Laponia, 15",Horcajo (Distrito Moratalaz. Madrid Capital),1.235,69,Anuncio actualizado el 20/10/2024,N/A,N/A,"[('Superficie construida:', '69 m²'), ('Habitaciones:', '2'), ('Baños:', '2'), ('Planta:', '3ª'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA5100-2200/22000041/00000034')]",Alquiler
Piso en alquiler en San Blas,Canillejas (Distrito San Blas. Madrid Capital),1.250,90,Anuncio actualizado el 24/10/2024,N/A,N/A,"[('Superficie construida:', '90 m²'), ('Habitaciones:', '3'), ('Baños:', '1'), ('Planta:', '3ª'), ('Conservación:', 'En buen estado'), ('Referencia:', 'XA24-2814-032267')]",Alquiler
Apartamento en alquiler en Hospital,Hospital (Valdemoro),1.275,120,Anuncio actualizado el 23/10/2024,Consumo:29 kWh/m² año,Emisiones:6 Kg CO₂/m² año,"[('Superficie construida:', '120 m²'), ('Habitaciones:', '2'), ('Baños:', '2'), ('Planta:', '5ª'), ('Antigüedad:', 'Menos de 5 años'), ('Referencia:', 'IF77045-I-00L450-W-02XHZ2')]",Alquiler
Piso en alquiler en Cármenes,Cármenes (Distrito Latina. Madrid Capital),1.600,80,Anuncio actualizado el 28/10/2024,Consumo:169 kWh/m² año,Emisiones:35 Kg CO₂/m² año,"[('Superficie construida:', '80 m²'), ('Superficie útil:', '76 m²'), ('Habitaciones:', '3'), ('Baños:', '2'), ('Planta:', '2ª'), ('Antigüedad:', 'Más de 50 años'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA3051-08182')]",Alquiler
"Piso en alquiler en Calle del Príncipe de Vergara, cerca de Calle de Diego de León",Castellana (Distrito Salamanca. Madrid Capital),3.490,180,Anuncio actualizado el 25/10/2024,Consumo:109 kWh/m² año,Emisiones:22 Kg CO₂/m² año,"[('Superficie construida:', '180 m²'), ('Superficie útil:', '142 m²'), ('Habitaciones:', '3'), ('Baños:', '3'), ('Planta:', '5ª'), ('Antigüedad:', 'Más de 50 años'), ('Gastos de comunidad:', 'Más de 100 €'), ('Referencia:', 'SA3689-EXP07850/8930')]",Alquiler
Apartamento en alquiler en Trafalgar,Trafalgar (Distrito Chamberí. Madrid Capital),2.750,84,Anuncio actualizado el 21/05/2024,Consumo:40 kWh/m² año,Emisiones:8 Kg CO₂/m² año,"[('Superficie construida:', '84 m²'), ('Habitaciones:', '2'), ('Baños:', '2'), ('Referencia:', 'IF77045-I-00K3RP-W-02NWSG')]",Alquiler
Piso en alquiler en La Tenería I-La Tenería Ii,La Tenería I-La Tenería II (Pinto),1.030,69,Anuncio actualizado el 28/10/2024,N/A,N/A,"[('Superficie construida:', '69 m²'), ('Superficie útil:', '55 m²'), ('Habitaciones:', '2'), ('Planta:', '3ª'), ('Referencia:', 'XA614-12692')]",Alquiler
Piso en alquiler en Almenara,Almenara (Distrito Tetuán. Madrid Capital),1.125,63,Anuncio actualizado el 12/09/2024,N/A,N/A,"[('Superficie construida:', '63 m²'), ('Habitaciones:', '2'), ('Baños:', '1'), ('Planta:', '3ª'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA4376-2110/21100022/155')]",Alquiler
Piso en alquiler en Centro,Universidad-Malasaña (Distrito Centro. Madrid Capital),1.300,60,Anuncio actualizado el 28/10/2024,N/A,N/A,"[('Superficie construida:', '60 m²'), ('Superficie útil:', '55 m²'), ('Habitaciones:', '1'), ('Baños:', '1'), ('Planta:', '1ª'), ('Antigüedad:', 'Más de 50 años'), ('Referencia:', 'GB18-UNI3287 PISO EN ALQUILER EN CENTRO - UNIVERSIDAD')]",Alquiler
