Descripción,Localización,Precio,Última Actualización,Consumo Energético,Emisiones Co2,Tipo De Operación,Superficie Construida,Superficie Útil,Habitaciones,Baños,Antigüedad,Conservación,Planta,Tipo De Casa
Ático en alquiler en Castillejos,Castillejos (Distrito Tetuán. Madrid Capital),2250.0,2024-10-28,,,Alquiler,108.0,96.0,2,1,Más de 50 años,En buen estado,6ª,Otro
Casa en alquiler en Zona Carretera del Plantío,Zona Carretera del Plantío (Majadahonda),4800.0,2024-10-02,,,Alquiler,130.0,No especificado,2,2,Más de 50 años,No especificado,No especificado,Casa
Chalet en alquiler en Rosa Luxemburgo,Rosa Luxemburgo-Padrerón-Polígono Industrial Norte (San Sebastián de los Reyes),1800.0,2024-10-24,,,Alquiler,150.0,No especificado,3,2,No especificado,En buen estado,No especificado,Chalet
Apartamento en alquiler en Lista,Lista (Distrito Salamanca. Madrid Capital),3500.0,2024-09-20,Consumo:195 kWh/m² año,Emisiones:40 Kg CO₂/m² año,Alquiler,109.0,No especificado,2,2,No especificado,No especificado,5ª,Otro
Chalet en alquiler en Somosaguas,Somosaguas-Húmera-Los Ángeles (Pozuelo de Alarcón),8500.0,2024-10-14,,,Alquiler,650.0,No especificado,7,7,Más de 50 años,No especificado,No especificado,Chalet
Chalet en alquiler en Mirasierra,Castilla (Distrito Chamartín. Madrid Capital),3900.0,2024-10-16,,,Alquiler,172.0,No especificado,3,3,Más de 50 años,No especificado,No especificado,Chalet
Apartamento en alquiler en Alameda de Osuna,Alameda de Osuna (Distrito Barajas. Madrid Capital),2700.0,2024-10-07,,,Alquiler,158.0,No especificado,3,2,Entre 20 y 30 años,No especificado,No especificado,Otro
Piso en alquiler en Sol,Sol (Distrito Centro. Madrid Capital),1600.0,2024-06-26,Consumo:151 kWh/m² año,Emisiones:31 Kg CO₂/m² año,Alquiler,68.0,No especificado,2,1,No especificado,No especificado,No especificado,Piso
Piso en alquiler en Berruguete,Berruguete (Distrito Tetuán. Madrid Capital),1795.0,2024-10-28,,,Alquiler,114.0,95.0,2,2,Menos de 5 años,En buen estado,No especificado,Piso
Chalet adosado en alquiler en Algete,Ciudad Jardín Valderrey (Algete),4000.0,2024-10-12,,,Alquiler,370.0,No especificado,7,4,Más de 50 años,No especificado,No especificado,Chalet
Estudio en alquiler en Chamberí,Castellana (Distrito Salamanca. Madrid Capital),1350.0,2024-10-15,,,Alquiler,35.0,No especificado,No especificado,1,No especificado,En buen estado,No especificado,Estudio
Casa adosada en alquiler en El Bosque,El Bosque (Villaviciosa de Odón),2950.0,2024-10-24,,,Alquiler,178.0,No especificado,4,3,Menos de 5 años,No especificado,No especificado,Casa
Apartamento en alquiler en Sol,Sol (Distrito Centro. Madrid Capital),3100.0,2024-10-23,Consumo:264 kWh/m² año,Emisiones:45 Kg CO₂/m² año,Alquiler,143.0,No especificado,2,3,Más de 50 años,No especificado,2ª,Otro
Ático en alquiler en Chamberí,Almagro (Distrito Chamberí. Madrid Capital),3800.0,2024-09-17,,,Alquiler,155.0,No especificado,4,3,No especificado,En buen estado,7ª,Otro
Apartamento en alquiler en San Juan Bautista,San Juan Bautista (Distrito Ciudad Lineal. Madrid Capital),1900.0,2024-10-17,,,Alquiler,101.0,No especificado,2,2,No especificado,No especificado,No especificado,Otro
Apartamento en alquiler en Justicia-Chueca,Justicia-Chueca (Distrito Centro. Madrid Capital),6900.0,2024-05-21,,,Alquiler,250.0,No especificado,4,5,No especificado,No especificado,No especificado,Otro
Piso en alquiler en Estrella,Estrella (Distrito Retiro. Madrid Capital),2200.0,2024-10-28,,,Alquiler,167.0,134.0,3,2,Entre 30 y 50 años,En buen estado,7ª,Piso
Apartamento en alquiler en Pacífico,Pacífico (Distrito Retiro. Madrid Capital),1300.0,2024-06-21,,,Alquiler,89.0,60.0,1,1,Más de 50 años,No especificado,4ª,Otro
Loft en alquiler en El Álamo,El Álamo,595.0,2024-10-27,,,Alquiler,58.0,No especificado,1,2,Entre 30 y 50 años,No especificado,No especificado,Otro
Piso en alquiler en Chamartin,Nueva España (Distrito Chamartín. Madrid Capital),2000.0,2024-10-15,,,Alquiler,92.0,No especificado,2,2,No especificado,En buen estado,3ª,Piso
Chalet adosado en alquiler en Conde Orgaz,Palacio (Distrito Centro. Madrid Capital),3600.0,2024-10-18,,,Alquiler,420.0,No especificado,5,4,Más de 50 años,No especificado,No especificado,Chalet
Piso en alquiler en Universidad-Malasaña,Universidad-Malasaña (Distrito Centro. Madrid Capital),1700.0,2024-10-28,,,Alquiler,103.0,90.0,2,2,Entre 30 y 50 años,En buen estado,1ª,Piso
Apartamento en alquiler en Trafalgar,Trafalgar (Distrito Chamberí. Madrid Capital),1980.0,2024-10-22,,,Alquiler,74.0,No especificado,1,1,Más de 50 años,No especificado,No especificado,Otro
Piso en alquiler en Hortaleza,Sanchinarro (Distrito Hortaleza. Madrid Capital),1450.0,2024-10-18,,,Alquiler,95.0,No especificado,2,2,No especificado,En buen estado,6ª,Piso
Piso en alquiler en Galapagar,La Navata (Galapagar),1700.0,2024-10-10,,,Alquiler,120.0,No especificado,4,3,No especificado,No especificado,No especificado,Piso
Piso en alquiler en Calle de Abastos,Nuevo Aranjuez-Ciudad de las Artes-El Mirador (Aranjuez),1250.0,2024-10-11,Consumo:99 kWh/m² año,Emisiones:19 Kg CO₂/m² año,Alquiler,196.0,140.0,4,2,Entre 10 y 20 años,En buen estado,1ª,Piso
Chalet en alquiler en Fuente El Saz de Jarama,Fuente el Saz de Jarama,1350.0,2024-10-24,,,Alquiler,135.0,No especificado,5,2,No especificado,En buen estado,No especificado,Chalet
Ático en alquiler en San Martin de La Vega,San Martín de la Vega,995.0,2024-10-11,,,Alquiler,125.0,No especificado,3,2,No especificado,En buen estado,2ª,Otro
Piso en alquiler en Primera Fase,Centro-Zona de la Estación (Tres Cantos),1195.0,2024-10-28,,,Alquiler,90.0,No especificado,3,2,No especificado,En buen estado,3ª,Piso
"Piso en alquiler en Avenida del Valle, 22",Ensanche de Vallecas-Valdecarros (Distrito Villa de Vallecas. Madrid Capital),1340.0,2024-10-21,,,Alquiler,103.0,No especificado,3,2,No especificado,En buen estado,6ª,Piso
Estudio en alquiler en Gaztambide,Gaztambide (Distrito Chamberí. Madrid Capital),1450.0,2024-10-07,Consumo:342 kWh/m² año,Emisiones:58 Kg CO₂/m² año,Alquiler,42.0,No especificado,1,1,No especificado,No especificado,2ª,Estudio
Piso en alquiler en Vista Alegre,Vista Alegre (Distrito Carabanchel. Madrid Capital),950.0,2024-10-24,,,Alquiler,43.0,No especificado,2,1,No especificado,En buen estado,2ª,Piso
Piso en alquiler en Centro,Embajadores-Lavapiés (Distrito Centro. Madrid Capital),2200.0,2024-09-17,,,Alquiler,56.0,No especificado,1,1,No especificado,En buen estado,3ª,Piso
Piso en alquiler en Valdelacasa,Valdelacasa (Alcobendas),1350.0,2024-10-28,,,Alquiler,75.0,68.0,1,2,Entre 10 y 20 años,En buen estado,2ª,Piso
Piso en alquiler en Carabanchel,Cuatro Vientos (Distrito Latina. Madrid Capital),1500.0,2024-10-11,,,Alquiler,95.0,No especificado,3,2,No especificado,En buen estado,1ª,Piso
Piso en alquiler en Fuencarral,Peñagrande (Distrito Fuencarral-El Pardo. Madrid Capital),1700.0,2024-10-28,,,Alquiler,125.0,No especificado,4,2,No especificado,En buen estado,7ª,Piso
Piso en alquiler en Nueva España,Nueva España (Distrito Chamartín. Madrid Capital),7000.0,2024-05-21,Consumo:228 kWh/m² año,Emisiones:47 Kg CO₂/m² año,Alquiler,335.0,No especificado,4,4,Entre 30 y 50 años,No especificado,5ª,Piso
Piso en alquiler en Praderón,Ciudalcampo-Fuente del Fresno (San Sebastián de los Reyes),995.0,2024-10-25,,,Alquiler,65.0,No especificado,2,2,No especificado,En buen estado,1ª,Piso
Dúplex en alquiler en Centro,Centro (Las Rozas de Madrid),4300.0,2024-09-20,,,Alquiler,257.0,No especificado,6,4,Más de 50 años,No especificado,No especificado,Dúplex
Apartamento en alquiler en Valdeacederas,Valdeacederas (Distrito Tetuán. Madrid Capital),1350.0,2024-09-05,Consumo:294 kWh/m² año,Emisiones:60 Kg CO₂/m² año,Alquiler,45.0,No especificado,1,1,Menos de 5 años,No especificado,No especificado,Otro
Apartamento en alquiler en Niño Jesús,Niño Jesús (Distrito Retiro. Madrid Capital),2600.0,2024-07-01,,,Alquiler,120.0,No especificado,3,2,No especificado,No especificado,No especificado,Otro
Piso en alquiler en Nueva España,Nueva España (Distrito Chamartín. Madrid Capital),1500.0,2024-10-28,,,Alquiler,53.0,50.0,1,1,Entre 5 y 10 años,En buen estado,1ª,Piso
Apartamento en alquiler en Calle Calle de los Fundadores,Centro (Colmenar Viejo),2450.0,2024-10-24,,,Alquiler,88.0,No especificado,2,2,Menos de 5 años,No especificado,3ª,Otro
Piso en alquiler en Argüelles,Argüelles (Distrito Moncloa-Aravaca. Madrid Capital),2500.0,2024-05-21,,,Alquiler,120.0,No especificado,No especificado,3,No especificado,No especificado,2ª,Piso
Piso en alquiler en Delicias,Delicias (Distrito Arganzuela. Madrid Capital),1700.0,2024-10-28,,,Alquiler,63.0,56.0,2,1,Más de 50 años,En buen estado,1ª,Piso
Apartamento en alquiler en Imperial,Imperial (Distrito Arganzuela. Madrid Capital),2080.0,2024-06-24,,,Alquiler,94.0,No especificado,2,2,No especificado,No especificado,6ª,Otro
"Piso en alquiler en Calle de Alcalá, cerca de Calle de José Arcones Gil",Pueblo Nuevo (Distrito Ciudad Lineal. Madrid Capital),895.0,2024-10-19,,,Alquiler,52.0,No especificado,No especificado,1,No especificado,En buen estado,No especificado,Piso
Piso en alquiler en Argüelles,Argüelles (Distrito Moncloa-Aravaca. Madrid Capital),4350.0,2024-05-21,Consumo:113 kWh/m² año,Emisiones:22 Kg CO₂/m² año,Alquiler,135.0,No especificado,2,2,No especificado,No especificado,11ª,Piso
Piso en alquiler en Centro,Universidad-Malasaña (Distrito Centro. Madrid Capital),2100.0,2024-10-27,,,Alquiler,96.0,No especificado,3,1,No especificado,En buen estado,2ª,Piso
Estudio en alquiler en Sol,Sol (Distrito Centro. Madrid Capital),1150.0,2024-09-13,,,Alquiler,45.0,40.0,1,1,Entre 30 y 50 años,No especificado,No especificado,Estudio
Apartamento en alquiler en Zona Carretera del Plantío,Zona Carretera del Plantío (Majadahonda),3000.0,2024-10-28,,,Alquiler,303.0,No especificado,6,4,No especificado,No especificado,3ª,Otro
Apartamento en alquiler en Estacion,Cercedilla,870.0,2024-10-04,Consumo:150 kWh/m² año,Emisiones:25 Kg CO₂/m² año,Alquiler,60.0,58.0,1,1,Entre 10 y 20 años,No especificado,Bajo,Otro
Piso en alquiler en Recoletos,Recoletos (Distrito Salamanca. Madrid Capital),3500.0,2024-09-13,,,Alquiler,105.0,98.0,2,3,Más de 50 años,No especificado,No especificado,Piso
Chalet en alquiler en Soto de Viñuelas,Soto de Viñuelas (Tres Cantos),3000.0,2024-10-28,,,Alquiler,296.0,195.0,4,2,Entre 30 y 50 años,En buen estado,No especificado,Chalet
Estudio en alquiler en Centro,Embajadores-Lavapiés (Distrito Centro. Madrid Capital),775.0,2024-10-23,,,Alquiler,35.0,No especificado,No especificado,1,No especificado,En buen estado,3ª,Estudio
Piso en alquiler en Dehesa Vieja-Puente Cultural,Dehesa Vieja-Puente Cultural (San Sebastián de los Reyes),1500.0,2024-10-28,,,Alquiler,169.0,99.0,3,2,Entre 10 y 20 años,En buen estado,2ª,Piso
Piso en alquiler en Salamanca,Castellana (Distrito Salamanca. Madrid Capital),2100.0,2024-09-17,,,Alquiler,100.0,No especificado,2,2,No especificado,En buen estado,2ª,Piso
Piso en alquiler en Casco Antiguo,Casco Antiguo (Alcorcón),1000.0,2024-10-09,,,Alquiler,57.0,No especificado,3,1,No especificado,En buen estado,4ª,Piso
Piso en alquiler en Calle de Ilustración,Casa de Campo (Distrito Moncloa-Aravaca. Madrid Capital),2100.0,2024-05-07,,,Alquiler,80.0,No especificado,2,2,No especificado,En buen estado,No especificado,Piso
Casa en alquiler en Navalquejigo-Los Arroyos,Navalquejigo-Los Arroyos (El Escorial),4500.0,2024-10-24,,,Alquiler,765.0,No especificado,No especificado,6,Entre 30 y 50 años,No especificado,No especificado,Casa
Chalet adosado en alquiler en Somosaguas,Prado de Somosaguas (Pozuelo de Alarcón),5000.0,2024-10-16,,,Alquiler,365.0,No especificado,4,4,Más de 50 años,No especificado,No especificado,Chalet
Piso en alquiler en San Juan Bautista,San Juan Bautista (Distrito Ciudad Lineal. Madrid Capital),1380.0,2024-09-20,,,Alquiler,101.0,No especificado,2,2,No especificado,En buen estado,2ª,Piso
Piso en alquiler en Goya,Goya (Distrito Salamanca. Madrid Capital),2500.0,2024-10-28,,,Alquiler,90.0,80.0,2,2,No especificado,En buen estado,1ª,Piso
Casa en alquiler en Aravaca,Aravaca (Distrito Moncloa-Aravaca. Madrid Capital),7500.0,2024-10-07,,,Alquiler,467.0,No especificado,6,5,No especificado,No especificado,No especificado,Casa
Dúplex en alquiler en Villalbilla Pueblo,Villalbilla,780.0,2024-10-25,Consumo:377 kWh/m² año,Emisiones:64 Kg CO₂/m² año,Alquiler,71.0,69.0,2,1,Entre 10 y 20 años,No especificado,1ª,Dúplex
Piso en alquiler en Chamartin,Prosperidad (Distrito Chamartín. Madrid Capital),1490.0,2024-10-17,,,Alquiler,88.0,No especificado,2,1,No especificado,En buen estado,4ª,Piso
Piso en alquiler en Calle Pino Canario,Navalcarnero,950.0,2024-10-23,,,Alquiler,60.0,No especificado,2,1,Entre 10 y 20 años,En buen estado,3ª,Piso
Piso en alquiler en Berruguete,Berruguete (Distrito Tetuán. Madrid Capital),1500.0,2024-10-28,,,Alquiler,82.0,57.0,2,1,No especificado,En buen estado,1ª,Piso
Apartamento en alquiler en Imperial,Imperial (Distrito Arganzuela. Madrid Capital),2780.0,2024-06-24,,,Alquiler,122.0,No especificado,3,2,No especificado,No especificado,1ª,Otro
Piso en alquiler en Almagro,Almagro (Distrito Chamberí. Madrid Capital),1200.0,2024-09-13,,,Alquiler,45.0,40.0,1,1,Entre 30 y 50 años,No especificado,No especificado,Piso
"Piso en alquiler en Avenida de los Artesanos, número .",Zona Industrial (Tres Cantos),990.0,2024-10-16,,,Alquiler,70.0,70.0,2,2,No especificado,No especificado,5ª,Piso
Piso en alquiler en Parque Oeste-Fuente Cisneros-Campodón,Parque Oeste-Fuente Cisneros-Campodón (Alcorcón),1130.0,2024-10-28,,,Alquiler,76.0,56.0,2,No especificado,No especificado,No especificado,4ª,Piso
Piso en alquiler en Chamberí,Arapiles (Distrito Chamberí. Madrid Capital),4200.0,2024-09-10,,,Alquiler,155.0,No especificado,3,2,No especificado,No especificado,No especificado,Piso
Apartamento en alquiler en Castillejos,Castillejos (Distrito Tetuán. Madrid Capital),1600.0,2024-10-15,Consumo:243 kWh/m² año,Emisiones:51 Kg CO₂/m² año,Alquiler,50.0,No especificado,1,1,No especificado,No especificado,No especificado,Otro
Chalet en alquiler en Fuente del Fresno,Dehesa Vieja-Puente Cultural (San Sebastián de los Reyes),8500.0,2024-10-21,,,Alquiler,475.0,No especificado,6,6,Más de 50 años,No especificado,No especificado,Chalet
Chalet pareado en alquiler en Conde Orgaz,Palacio (Distrito Centro. Madrid Capital),4900.0,2024-10-19,,,Alquiler,400.0,No especificado,6,5,Más de 50 años,No especificado,No especificado,Chalet
Piso en alquiler en Valdeacederas,Berruguete (Distrito Tetuán. Madrid Capital),2300.0,2024-09-13,,,Alquiler,72.0,68.0,2,1,Entre 20 y 30 años,No especificado,No especificado,Piso
Piso en alquiler en Sureste,Zona Noreste (Torrejón de Ardoz),1200.0,2024-10-25,,,Alquiler,100.0,No especificado,4,1,No especificado,En buen estado,4ª,Piso
Piso en alquiler en Dehesa de Marimartin,Navalcarnero,1000.0,2024-10-28,,,Alquiler,100.0,No especificado,3,2,No especificado,En buen estado,3ª,Piso
Piso en alquiler en Universidad-Malasaña,Universidad-Malasaña (Distrito Centro. Madrid Capital),3400.0,2024-10-28,,,Alquiler,105.0,100.0,2,2,No especificado,En buen estado,6ª,Piso
Piso en alquiler en Lista,Lista (Distrito Salamanca. Madrid Capital),2650.0,2024-05-21,Consumo:190 kWh/m² año,Emisiones:35 Kg CO₂/m² año,Alquiler,105.0,No especificado,No especificado,2,Más de 50 años,No especificado,No especificado,Piso
Piso en alquiler en Sureste,Zona Sureste (Torrejón de Ardoz),750.0,2024-10-22,,,Alquiler,67.0,No especificado,1,1,No especificado,En buen estado,3ª,Piso
Piso en alquiler en Castellana,Castellana (Distrito Salamanca. Madrid Capital),3600.0,2024-09-13,,,Alquiler,176.0,160.0,2,2,Entre 30 y 50 años,No especificado,No especificado,Piso
Chalet en alquiler en Calle Cerceda,¡Vaya! Esta propiedad no tiene fotos,2900.0,2024-07-22,,,Alquiler,330.0,330.0,4,3,No especificado,En buen estado,No especificado,Chalet
Piso en alquiler en Ciudad Lineal,Atalaya (Distrito Ciudad Lineal. Madrid Capital),2100.0,2024-10-15,,,Alquiler,90.0,No especificado,2,2,No especificado,En buen estado,2ª,Piso
Piso en alquiler en Cuatro Caminos,Cuatro Caminos (Distrito Tetuán. Madrid Capital),2300.0,2024-10-28,,,Alquiler,136.0,106.0,2,2,Entre 10 y 20 años,En buen estado,2ª,Piso
Piso en alquiler en San Isidro - los Almendros,"Pryconsa, Juan de Austria (Distrito El Val. Alcalá de Henares)",725.0,2024-10-28,,,Alquiler,85.0,No especificado,3,1,No especificado,En buen estado,4ª,Piso
Ático en alquiler en San Pascual,San Pascual (Distrito Ciudad Lineal. Madrid Capital),2000.0,2024-10-28,,,Alquiler,140.0,86.0,2,1,Más de 50 años,En buen estado,3ª,Otro
Piso en alquiler en Ciudalcampo-Fuente del Fresno,Ciudalcampo-Fuente del Fresno (San Sebastián de los Reyes),1600.0,2024-10-28,,,Alquiler,75.0,48.0,1,1,Entre 10 y 20 años,En buen estado,3ª,Piso
"Dúplex en alquiler en Calle del Potro, número .",Centro-Urbanización El Bosque (Arroyomolinos),1050.0,2024-10-23,,,Alquiler,110.0,55.0,1,2,No especificado,No especificado,1ª,Dúplex
Ático en alquiler en Ciudad Lineal,San Pascual (Distrito Ciudad Lineal. Madrid Capital),2000.0,2024-10-22,,,Alquiler,170.0,130.0,3,1,No especificado,En buen estado,3ª,Otro
Piso en alquiler en Arganzuela,Imperial (Distrito Arganzuela. Madrid Capital),2000.0,2024-09-17,,,Alquiler,77.0,64.0,2,1,No especificado,En buen estado,4ª,Piso
Estudio en alquiler en Trafalgar,Almagro (Distrito Chamberí. Madrid Capital),1190.0,2024-09-13,,,Alquiler,50.0,40.0,1,1,Más de 50 años,No especificado,No especificado,Estudio
Piso en alquiler en Puerta del Ángel,Puerta del Ángel (Distrito Latina. Madrid Capital),1050.0,2024-09-13,,,Alquiler,45.0,40.0,1,1,Más de 50 años,No especificado,No especificado,Piso
Piso en alquiler en los Rosales,Los Rosales (Distrito Villaverde. Madrid Capital),1280.0,2024-10-01,,,Alquiler,104.0,No especificado,4,2,No especificado,En buen estado,3ª,Piso
Piso en alquiler en Alcobendas,Centro (Alcobendas),3300.0,2024-10-08,,,Alquiler,225.0,No especificado,4,3,Más de 50 años,No especificado,No especificado,Piso
Piso en alquiler en Almagro,Almagro (Distrito Chamberí. Madrid Capital),4800.0,2024-09-13,,,Alquiler,230.0,208.0,6,4,Más de 50 años,No especificado,No especificado,Piso
Piso en alquiler en Palomas,Palacio (Distrito Centro. Madrid Capital),3300.0,2024-10-26,,,Alquiler,152.0,No especificado,4,2,No especificado,No especificado,No especificado,Piso
Piso en alquiler en Sol,Sol (Distrito Centro. Madrid Capital),2100.0,2024-10-28,,,Alquiler,84.0,80.0,2,1,Más de 50 años,En buen estado,4ª,Piso
Chalet en alquiler en Ciudalcampo,Ciudalcampo-Fuente del Fresno (San Sebastián de los Reyes),6100.0,2024-10-20,,,Alquiler,575.0,No especificado,5,6,Más de 50 años,No especificado,No especificado,Chalet
